week_start,week_end,campaign_id,campaign_name,api_row_returned,impressions,clicks,interactions,cost,conversions,conversion_value,roas,ctr,average_cpc,conversion_rate,average_conversion_value,all_conversions,all_conversion_value
2025-10-20,2025-10-26,20647427212,Performance Max-2,True,99090,1228,1287,1503.679334,7.445190,738.576192,0.491179,0.012393,1.224495,0.005785,99.201792,1144.982117,12996.181117
2025-10-27,2025-11-02,20647427212,Performance Max-2,True,120820,1427,1754,1617.345730,5.351499,942.318232,0.582633,0.011811,1.133389,0.003051,176.084912,5202.294703,33787.033724
2025-11-03,2025-11-09,20647427212,Performance Max-2,True,105353,1273,1679,1756.862739,11.992772,1366.763719,0.777957,0.012083,1.380096,0.007143,113.965622,7802.231448,63599.184774
2025-11-10,2025-11-16,20647427212,Performance Max-2,True,93084,1237,1878,1834.856595,11.985488,2705.042464,1.474253,0.013289,1.483312,0.006382,225.693144,7282.659843,55445.576982
2025-11-17,2025-11-23,20647427212,Performance Max-2,True,84166,1170,1499,1640.139902,24.714012,6547.163807,3.991833,0.013901,1.401829,0.016487,264.917076,7034.202114,115252.179300
2025-11-24,2025-11-30,20647427212,Performance Max-2,True,96882,1171,1515,1647.387514,11.699751,2410.781764,1.463397,0.012087,1.406821,0.007723,206.054109,6449.425524,61154.826003
2025-12-01,2025-12-07,20647427212,Performance Max-2,True,107299,1262,1652,1690.564477,15.584939,3539.859422,2.093892,0.011762,1.339592,0.009434,227.133351,6846.896521,44121.274838
2025-12-08,2025-12-14,20647427212,Performance Max-2,True,105823,1256,1545,1646.606669,11.715734,1164.410895,0.707158,0.011869,1.310993,0.007583,99.388642,6498.345177,56523.278288
2025-12-15,2025-12-21,20647427212,Performance Max-2,True,123373,1365,2051,1667.612576,15.117878,1374.657577,0.824327,0.011064,1.221694,0.007371,90.929268,6879.896783,40826.958335
2025-12-22,2025-12-28,20647427212,Performance Max-2,True,122321,1443,1875,1673.062633,13.809625,1969.578079,1.177229,0.011797,1.159434,0.007365,142.623574,6767.217877,32380.729626
2025-12-29,2026-01-04,20647427212,Performance Max-2,True,145970,1714,1889,1793.465610,17.993511,11622.527683,6.480485,0.011742,1.046363,0.009525,645.928840,8559.344683,70776.180000
2026-01-05,2026-01-11,20647427212,Performance Max-2,True,140803,1579,1898,2037.335642,19.668195,2542.557207,1.247982,0.011214,1.290270,0.010363,129.272524,7554.202323,57254.611192
2026-01-12,2026-01-18,20647427212,Performance Max-2,True,162347,2042,2263,2202.574881,38.535698,12666.275097,5.750667,0.012578,1.078636,0.017029,328.689391,10051.728399,99667.900699
2026-01-19,2026-01-25,20647427212,Performance Max-2,True,137801,1606,2013,2160.649529,23.337232,10978.519182,5.081120,0.011654,1.345361,0.011593,470.429363,7593.164628,103761.247644
2026-01-26,2026-02-01,20647427212,Performance Max-2,True,145264,1701,1836,1980.578861,20.610203,6219.958398,3.140475,0.011710,1.164361,0.011226,301.790254,8274.453445,74847.031396
2026-02-02,2026-02-08,20647427212,Performance Max-2,True,186294,2157,2367,2585.581962,27.195481,1811.891286,0.700767,0.011578,1.198694,0.011489,66.624719,9754.156996,53676.337881
2026-02-09,2026-02-15,20647427212,Performance Max-2,True,196574,2224,2576,2740.752945,17.920110,1507.298600,0.549958,0.011314,1.232353,0.006957,84.112129,8787.843917,46861.899776
